hectad,country,east,north,longitude,latitude
SU98,EN,490000,180000,-0.704479761709852,51.5117689154809
SU99,EN,490000,190000,-0.701923563647039,51.601659633283
SV80,EN,80000,0,-6.44997363426647,49.8147371554101
SV81,EN,80000,10000,-6.45823377524769,49.9044052816383
SV91,EN,90000,10000,-6.31938096552048,49.9096707142491
SW32,EN,130000,20000,-5.77059562085903,50.0188159862482
SW33,EN,130000,30000,-5.7776475352611,50.1085576120704
SW42,EN,140000,20000,-5.6312961436938,50.0232648078963
SW43,EN,140000,30000,-5.63808898114442,50.1130205224395
SW44,EN,140000,40000,-5.64491619389177,50.2027741627281
SW52,EN,150000,20000,-5.49196251621304,50.0275466619464
SW53,EN,150000,30000,-5.49849605207925,50.1173159389131
SW54,EN,150000,40000,-5.50506265849474,50.2070831920785
SW61,EN,160000,10000,-5.346353572726,49.9418771671931
SW62,EN,160000,20000,-5.35259603470246,50.0316614518625
SW63,EN,160000,30000,-5.35887005280048,50.1214437643671
SW64,EN,160000,40000,-5.36517583473632,50.2112241015855
SW71,EN,170000,10000,-5.20721396078722,49.9458123383301
SW72,EN,170000,20000,-5.21319799738997,50.0356090848354
SW73,EN,170000,30000,-5.219212290007,50.1254039054264
SW74,EN,170000,40000,-5.22525703786253,50.2151967973036
SW75,EN,170000,50000,-5.23133244199219,50.3049877576483
SW76,EN,170000,60000,-5.23743870526341,50.3947767836228
SW82,EN,180000,20000,-5.07376970437031,50.0393894717895
SW83,EN,180000,30000,-5.07952407228549,50.1291962724723
SW84,EN,180000,40000,-5.08530758502846,50.2190011890662
SW85,EN,180000,50000,-5.09112043504596,50.3088042190637
SW86,EN,180000,60000,-5.0969628165389,50.3986053599409
SW87,EN,180000,70000,-5.10283492548219,50.4884046091573
SW93,EN,190000,30000,-4.93980671003397,50.1328207796488
SW94,EN,190000,40000,-4.94532879522091,50.2226371904925
SW95,EN,190000,50000,-4.9508788969286,50.3124517577106
SW96,EN,190000,60000,-4.95645720067166,50.4022644790797
SW97,EN,190000,70000,-4.96206389365999,50.4920753523619
SW98,EN,190000,80000,-4.9676991648179,50.5818843753052
SX03,EN,200000,30000,-4.80006151538507,50.1362773448692
SX04,EN,200000,40000,-4.80532198918077,50.2261047189936
SX05,EN,200000,50000,-4.81060915706716,50.315930290494
SX06,EN,200000,60000,-4.81592319585366,50.4057540574334
SX07,EN,200000,70000,-4.82126428396593,50.4955760178634
SX08,EN,200000,80000,-4.82663260146421,50.5853961698234
SX09,EN,200000,90000,-4.83202833006181,50.6752145113411
SX15,EN,210000,50000,-4.67031254658387,50.3192397381399
SX16,EN,210000,60000,-4.67536214199116,50.409074015241
SX17,EN,210000,70000,-4.68043744517023,50.4989065254092
SX18,EN,210000,80000,-4.68553862729868,50.5887372669617
SX19,EN,210000,90000,-4.69066586112617,50.6785662382065
SX25,EN,220000,50000,-4.52999039821714,50.3223800252016
SX26,EN,220000,60000,-4.53477538062492,50.4122242765919
SX27,EN,220000,70000,-4.5395847276961,50.5020667986209
SX28,EN,220000,80000,-4.54441860170802,50.5919075898698
SX29,EN,220000,90000,-4.54927716642881,50.6817466489129
SX35,EN,230000,50000,-4.38964404624232,50.3253510800651
SX36,EN,230000,60000,-4.39416425485005,50.4152047694318
SX37,EN,230000,70000,-4.39870748353878,50.5050567650001
SX38,EN,230000,80000,-4.40327388566883,50.5949070656015
SX39,EN,230000,90000,-4.40786361600987,50.6847556700621
SX44,EN,240000,40000,-4.24504107453913,50.2382885850252
SX45,EN,240000,50000,-4.24927482639224,50.3281528349549
SX46,EN,240000,60000,-4.25353010923564,50.4180154255678
SX47,EN,240000,70000,-4.25780706618418,50.5078763559337
SX48,EN,240000,80000,-4.26210584166539,50.5977356251195
SX49,EN,240000,90000,-4.26642658143438,50.6875932321895
SX54,EN,250000,40000,-4.10491405437944,50.2409126432017
SX55,EN,250000,50000,-4.10888407577754,50.3307852259382
SX56,EN,250000,60000,-4.11287428974417,50.4206561806741
SX57,EN,250000,70000,-4.11688483052747,50.5105255066988
SX58,EN,250000,80000,-4.12091583360722,50.600393203301
